cruise, day, pressure, theta, density, temp, salinity, oxygen, nitrate, 
280, 9965,  366.0, 10.0252,  26.256, 10.0678, 34.1137,   175.6,  19.663,
280, 9965,  368.0,  9.9832,  26.262, 10.0258, 34.1120,   174.3,  19.752,
280, 9965,  370.0,  9.9306,  26.271,  9.9734, 34.1125,   172.9,  19.725,
280, 9965,  372.0,  9.8574,  26.283,  9.9002, 34.1122,   173.3,  20.223,
280, 9965,  374.0,  9.8110,  26.290,  9.8539, 34.1108,   172.1,  20.441,
280, 9965,  376.0,  9.7616,  26.296,  9.8046, 34.1085,   170.1,  20.481,
280, 9965,  378.0,  9.7205,  26.302,  9.7636, 34.1069,   172.1,  20.828,
280, 9965,  380.0,  9.6765,  26.308,  9.7198, 34.1049,   172.1,  20.655,
280, 9965,  382.0,  9.6100,  26.317,  9.6533, 34.1028,   172.3,  20.975,
280, 9965,  384.0,  9.5270,  26.330,  9.5703, 34.1015,   172.1,  21.078,
280, 9965,  386.0,  9.4676,  26.340,  9.5109, 34.1023,   170.4,  21.468,
280, 9965,  388.0,  9.4147,  26.349,  9.4581, 34.1024,   168.3,  21.829,
280, 9965,  390.0,  9.3754,  26.355,  9.4190, 34.1018,   164.5,  22.398,
280, 9965,  392.0,  9.3297,  26.361,  9.3734, 34.0998,   163.2,  22.075,
280, 9965,  394.0,  9.2746,  26.369,  9.3183, 34.0995,   163.1,  22.063,
280, 9965,  396.0,  9.2303,  26.376,  9.2741, 34.0994,   162.7,  22.236,
280, 9965,  398.0,  9.1932,  26.382,  9.2371, 34.0989,   161.6,  22.662,
280, 9965,  400.0,  9.1503,  26.389,  9.1944, 34.0995,   161.0,  22.456,
280, 9965,  402.0,  9.1081,  26.396,  9.1522, 34.0994,   160.8,  23.319,
280, 9965,  404.0,  9.0548,  26.405,  9.0990, 34.1005,   160.4,  23.617,
280, 9965,  406.0,  8.9917,  26.416,  9.0359, 34.1006,   157.7,  23.178,
280, 9965,  408.0,  8.9637,  26.420,  9.0081, 34.1008,   156.4,  23.958,
280, 9965,  410.0,  8.9280,  26.427,  8.9724, 34.1019,   155.7,  24.197,
280, 9965,  412.0,  8.8842,  26.434,  8.9288, 34.1030,   154.9,  24.487,
280, 9965,  414.0,  8.8230,  26.443,  8.8676, 34.1017,   153.9,  24.605,
280, 9965,  416.0,  8.7812,  26.450,  8.8259, 34.1022,   153.2,  25.088,
280, 9965,  418.0,  8.7468,  26.456,  8.7916, 34.1030,   152.8,  25.204,
280, 9965,  420.0,  8.7142,  26.462,  8.7591, 34.1038,   152.1,  25.760,
280, 9965,  422.0,  8.6618,  26.470,  8.7067, 34.1038,   150.8,  25.631,
280, 9965,  424.0,  8.6216,  26.476,  8.6667, 34.1034,   148.1,  25.672,
280, 9965,  426.0,  8.5870,  26.482,  8.6322, 34.1041,   145.9,  25.915,
280, 9965,  428.0,  8.5366,  26.491,  8.5819, 34.1056,   145.1,  26.307,
280, 9965,  430.0,  8.4797,  26.500,  8.5250, 34.1060,   142.1,  26.462,
280, 9965,  432.0,  8.4404,  26.505,  8.4858, 34.1049,   141.4,  26.590,
280, 9965,  434.0,  8.4061,  26.510,  8.4516, 34.1052,   140.6,  26.730,
280, 9965,  436.0,  8.3740,  26.515,  8.4196, 34.1049,   138.9,  26.693,
280, 9965,  438.0,  8.3397,  26.522,  8.3854, 34.1071,   138.2,  27.374,
280, 9965,  440.0,  8.3050,  26.528,  8.3507, 34.1084,   137.7,  27.418,
280, 9965,  442.0,  8.2894,  26.534,  8.3354, 34.1129,   135.5,  27.591,
280, 9965,  444.0,  8.2575,  26.539,  8.3036, 34.1136,   133.2,  27.798,
280, 9965,  446.0,  8.2084,  26.548,  8.2545, 34.1155,   132.3,  28.057,
280, 9965,  448.0,  8.1536,  26.557,  8.1998, 34.1162,   131.3,  28.352,
280, 9965,  450.0,  8.1301,  26.561,  8.1764, 34.1173,   128.1,  28.839,
280, 9965,  452.0,  8.0909,  26.569,  8.1373, 34.1191,   126.1,  29.037,
280, 9965,  454.0,  8.0655,  26.575,  8.1120, 34.1222,   124.6,  29.380,
280, 9965,  456.0,  8.0416,  26.580,  8.0882, 34.1238,   122.0,  29.387,
280, 9965,  458.0,  8.0220,  26.584,  8.0688, 34.1253,   117.8,  29.729,
280, 9965,  460.0,  8.0002,  26.589,  8.0471, 34.1279,   116.0,  29.900,
280, 9965,  462.0,  7.9633,  26.596,  8.0103, 34.1291,   114.8,  29.876,
280, 9965,  464.0,  7.9264,  26.603,  7.9735, 34.1314,   110.8,  30.384,
280, 9965,  466.0,  7.8931,  26.607,  7.9403, 34.1298,   107.7,  30.233,
280, 9965,  468.0,  7.8488,  26.616,  7.8961, 34.1343,   107.3,  30.543,
280, 9965,  470.0,  7.8145,  26.624,  7.8618, 34.1379,   105.6,  30.551,
280, 9965,  472.0,  7.7571,  26.633,  7.8044, 34.1379,   103.1,  30.890,
280, 9965,  474.0,  7.7177,  26.638,  7.7650, 34.1370,   102.8,  31.010,
280, 9965,  476.0,  7.6802,  26.643,  7.7277, 34.1369,   102.3,  31.343,
280, 9965,  478.0,  7.6367,  26.647,  7.6842, 34.1343,   100.9,  31.289,
280, 9965,  480.0,  7.5885,  26.651,  7.6360, 34.1306,   100.5,  31.779,
280, 9965,  482.0,  7.5302,  26.657,  7.5778, 34.1270,   101.0,  31.952,
280, 9965,  484.0,  7.4900,  26.661,  7.5376, 34.1254,   101.6,  31.901,
280, 9965,  486.0,  7.4609,  26.665,  7.5085, 34.1243,   102.0,  32.097,
280, 9965,  488.0,  7.4196,  26.669,  7.4673, 34.1226,   101.6,  32.132,
